Country,Date,Type,Number of Cases,Cumulative Cases
Afghanistan,2020-1-22,Confirmed,0,0
Afghanistan,2020-1-22,Deaths,0,0
Afghanistan,2020-1-22,Recovered,0,0
Afghanistan,2020-1-23,Confirmed,0,0
Afghanistan,2020-1-23,Deaths,0,0
Afghanistan,2020-1-23,Recovered,0,0
Afghanistan,2020-1-24,Confirmed,0,0
Afghanistan,2020-1-24,Deaths,0,0
Afghanistan,2020-1-24,Recovered,0,0
Afghanistan,2020-1-25,Confirmed,0,0
Afghanistan,2020-1-25,Deaths,0,0
Afghanistan,2020-1-25,Recovered,0,0
Afghanistan,2020-1-26,Confirmed,0,0
Afghanistan,2020-1-26,Deaths,0,0
Afghanistan,2020-1-26,Recovered,0,0
Afghanistan,2020-1-27,Confirmed,0,0
Afghanistan,2020-1-27,Deaths,0,0
Afghanistan,2020-1-27,Recovered,0,0
Afghanistan,2020-1-28,Confirmed,0,0
Afghanistan,2020-1-28,Deaths,0,0
Afghanistan,2020-1-28,Recovered,0,0
Afghanistan,2020-1-29,Confirmed,0,0
Afghanistan,2020-1-29,Deaths,0,0
Afghanistan,2020-1-29,Recovered,0,0
Afghanistan,2020-1-30,Confirmed,0,0
Afghanistan,2020-1-30,Deaths,0,0
Afghanistan,2020-1-30,Recovered,0,0
Afghanistan,2020-1-31,Confirmed,0,0
Afghanistan,2020-1-31,Deaths,0,0
Afghanistan,2020-1-31,Recovered,0,0
Afghanistan,2020-2-1,Confirmed,0,0
Afghanistan,2020-2-1,Deaths,0,0
Afghanistan,2020-2-1,Recovered,0,0
Afghanistan,2020-2-2,Confirmed,0,0
Afghanistan,2020-2-2,Deaths,0,0
Afghanistan,2020-2-2,Recovered,0,0
Afghanistan,2020-2-3,Confirmed,0,0
Afghanistan,2020-2-3,Deaths,0,0
Afghanistan,2020-2-3,Recovered,0,0
Afghanistan,2020-2-4,Confirmed,0,0
Afghanistan,2020-2-4,Deaths,0,0
Afghanistan,2020-2-4,Recovered,0,0
Afghanistan,2020-2-5,Confirmed,0,0
Afghanistan,2020-2-5,Deaths,0,0
Afghanistan,2020-2-5,Recovered,0,0
Afghanistan,2020-2-6,Confirmed,0,0
Afghanistan,2020-2-6,Deaths,0,0
Afghanistan,2020-2-6,Recovered,0,0
Afghanistan,2020-2-7,Confirmed,0,0
Afghanistan,2020-2-7,Deaths,0,0
Afghanistan,2020-2-7,Recovered,0,0
Afghanistan,2020-2-8,Confirmed,0,0
Afghanistan,2020-2-8,Deaths,0,0
Afghanistan,2020-2-8,Recovered,0,0
Afghanistan,2020-2-9,Confirmed,0,0
Afghanistan,2020-2-9,Deaths,0,0
Afghanistan,2020-2-9,Recovered,0,0
Afghanistan,2020-2-10,Confirmed,0,0
Afghanistan,2020-2-10,Deaths,0,0
Afghanistan,2020-2-10,Recovered,0,0
Afghanistan,2020-2-11,Confirmed,0,0
Afghanistan,2020-2-11,Deaths,0,0
Afghanistan,2020-2-11,Recovered,0,0
Afghanistan,2020-2-12,Confirmed,0,0
Afghanistan,2020-2-12,Deaths,0,0
Afghanistan,2020-2-12,Recovered,0,0
Afghanistan,2020-2-13,Confirmed,0,0
Afghanistan,2020-2-13,Deaths,0,0
Afghanistan,2020-2-13,Recovered,0,0
Afghanistan,2020-2-14,Confirmed,0,0
Afghanistan,2020-2-14,Deaths,0,0
Afghanistan,2020-2-14,Recovered,0,0
Afghanistan,2020-2-15,Confirmed,0,0
Afghanistan,2020-2-15,Deaths,0,0
Afghanistan,2020-2-15,Recovered,0,0
Afghanistan,2020-2-16,Confirmed,0,0
Afghanistan,2020-2-16,Deaths,0,0
Afghanistan,2020-2-16,Recovered,0,0
Afghanistan,2020-2-17,Confirmed,0,0
Afghanistan,2020-2-17,Deaths,0,0
Afghanistan,2020-2-17,Recovered,0,0
Afghanistan,2020-2-18,Confirmed,0,0
Afghanistan,2020-2-18,Deaths,0,0
Afghanistan,2020-2-18,Recovered,0,0
Afghanistan,2020-2-19,Confirmed,0,0
